device,definition,example_1,example_2,example_3
Anacoenosis,Pausing to ask the audience or reader what they would think or do.,You have seen the leftovers in the office fridge. I ask you: who among us would have labeled them?,"What would you have done, holding the last ticket and hearing the train?","Neighbors, look at this pothole. Is this the crater of a serious street?"
Anacoluthon,A sentence that breaks off and lurches into a different grammatical track midstream.,"The recipe said to fold the, you know what, we are ordering pizza.","I was going to explain the budget, but honestly, has anyone seen my calculator?","So the plan was, and I want credit for the plan, actually the plan no longer matters."
Anadiplosis,Repeating the last word of one clause as the first word of the next.,The rain filled the gutters; the gutters fed the barrel; the barrel saved the garden.,Practice builds habit. Habit builds speed. Speed wins the relay.,She trusted the map. The map trusted a bridge that was no longer there.
Anagnorisis,The moment a character discovers the truth about a situation or identity.,"Sorting her late aunt's letters, she recognized her own handwriting on the oldest one.",The rival baker across the street turned out to be the pen pal he had written to for years.,"Halfway through scolding the dog, she saw the muddy prints were her own boots."
Anagram,A word or phrase formed by rearranging the letters of another.,'Listen' rearranged becomes 'silent.',"The villain's name, Alma Dun, unscrambles to 'maudlin.'",'Dormitory' hides 'dirty room.'
Analogy,An extended comparison that explains an unfamiliar thing by mapping it onto a familiar one.,A password manager is a keychain for doors you can't see.,"Editing a draft is pruning a hedge: cut for shape, not out of anger.",Learning scales is stretching before the run of a song.
Anaphora,Repeating the same word or phrase at the start of successive clauses or sentences.,"We will fix the roof. We will fix the fence. We will fix, at last, the argument about whose turn it is.","Every morning the ferry horn. Every morning the gulls. Every morning the same seat, saved.","No map, no flashlight, no idea, and somehow no regrets."
Anastrophe,Deliberate inversion of normal word order for emphasis or rhythm.,"Cold was the coffee, and long the meeting.",Into the basement crept the cat.,Patient he was not.
Anecdote,A short personal story told to make a point.,"Before explaining budgets, she told about the summer she spent nickels on stickers.",My uncle opens every toast with the tale of the runaway lawnmower.,The coach settled the debate with a story about one missed free throw.
Antanaclasis,Repeating a word so that it carries a different meaning each time.,"If you don't book the flight, we'll have to book it out of here on foot.","She had a run in her stocking and then a run of bad luck and then, finally, a run to catch the bus.",Learn to press pause before the deadline starts to press you.
Antanagoge,Answering a negative point by attaching a compensating positive one.,"The cabin has no heat, but the blankets are legendary.","Yes, the car is slow; it is also the only one that starts in January.","My garden grew one tomato, and it was, in fairness, a magnificent tomato."
Anthimeria,"Using a word as a different part of speech than usual, such as a noun as a verb.",Can you calendar me for Thursday before the whole week avalanches?,He porched the evening away with lemonade and zero apologies.,Stop adulting for one afternoon and come see the kite festival.
Anthropomorphism,"Giving human traits, behavior, or speech to nonhuman things — the thing literally acts human.","The toaster sulked until Thursday, then forgave us.","In the film, the moving boxes unionize and demand bubble wrap.",Our router holds grudges against the microwave.
Anticlimax,"A deliberate letdown that follows a big buildup, usually for comic effect.",The vault took three hours to drill open and contained a single expired coupon.,"She trained all year, flew across the country, stepped up to the podium, and read the wrong speech.","The prophecy foretold a great disruption in the village, which turned out to be roadwork."
Antimetabole,Repeating the words of one phrase in reverse order in the next.,"Pack your patience for the trail, and let the trail unpack your patience.","We shape our tools, and then our tools shape us.",Do not count your customers before your customers can count on you.
Antiphrasis,Using a single word ironically to mean its opposite.,They called the massive mastiff Peanut.,"Here comes Speedy, she said, as the old elevator began its long deliberation.",The team named the leaky rowboat Unsinkable and kept a bucket aboard.
Antithesis,Setting two opposing ideas in parallel structure to sharpen the contrast.,Speech is easy; silence is expensive.,We planned for the flood and drowned in the drought.,Small keys open big doors.
Antonomasia,"Substituting a title or descriptive phrase for a proper name, or a name for a type.",Ask the Spreadsheet Whisperer down the hall; she can fix anything with columns in it.,The little chef of apartment 4B left cookies on every doormat again.,"Every block has its Scrooge, and ours guards the good parking cone."
Aphorism,"A compact, memorable statement of a general truth.","A borrowed umbrella teaches you about the borrower, not the rain.",Nobody washes a rental car.,The list you lose is the list you needed.
Aphorismus,Calling into question whether a word truly applies to the thing it names.,You call this a summer? I have seen warmer refrigerators.,How can it be a shortcut if we have been walking for an hour?,That is not a beard; that is a rumor of a beard.
Apophasis,Mentioning something while claiming not to mention it (also called paralipsis or praeteritio).,"I won't bring up who left the gate open, Gerald, because we are past blame.","Far be it from me to mention that my chili won last year, but the trophy is on the mantel.",We need not discuss the karaoke incident; this meeting is about the budget.
Aporia,"Expressing doubt, real or staged, about what to say or how to proceed.",How do I even begin to describe my grandmother's driving?,"Whether to warn the new tenant about the radiator or let the radiator introduce itself, I honestly cannot decide.",What can be said about a casserole like that? Words feel small.
Aposiopesis,"Breaking off a sentence and leaving it unfinished, the ending implied.","If your father sees the lawn before we fix it, well.","The letter began, By the time you read this, and then the ink simply stopped.","One more scratch on that trailer and I swear I will, you know what, hand me the keys."
Apostrophe,"Directly addressing an absent person, an abstraction, or an object as if it could hear.","O patience, where do you go at bath time?","Dear knees, I apologize in advance for the stairs at the stadium.","Old house, you kept every secret except the draft under the door."
Aptronym,A name that comically or neatly fits its owner's occupation or nature.,"The town's best plumber was, inevitably, Mr. Waters.",Nobody was surprised when Sunny Fields opened a flower farm.,"Our dentist, Dr. Paine, insists the sign is working exactly as intended."
Archaism,Deliberate use of old-fashioned words or phrasing for flavor or effect.,"Hark, the microwave hath finished its labors.","The invitation read: thou art summoned to the potluck, bring forth thy famous beans.","Alas, quoth the mechanic, thy alternator is no more."
Archetype,"A recurring character type, image, or pattern that readers recognize across stories.",The reluctant mentor who says no twice before saying yes.,The trickster who breaks the rules and accidentally saves everyone.,The flooded town that must be left behind for the story to start.
Aside,A brief remark delivered to the audience that other characters do not hear.,"While the customer studied the menu, the waiter turned to us: the fish, between friends, is a gamble tonight.","She smiled at the judges, then, sideways to the camera: the cake is entirely frosting.","As grandfather began the story again, the boy caught our eye: this version adds a bear."
Assonance,Repetition of vowel sounds within nearby words.,The June moon soon drooped over the dunes.,A fleet of green beetles creeped between the reeds.,Try to light the fire tonight.
Asterismos,Opening with an attention word like listen or behold before the real statement.,Listen: the ice cream truck changes routes on Fridays.,"Behold, the world's most stubborn jar lid.",Mark this: the shortcut through the fairground is never shorter.
Asyndeton,Dropping conjunctions between clauses or items to quicken the pace.,"We packed, we drove, we forgot the tent.","The kitchen was chaos: flour, smoke, alarms, laughter.","He came, he saw, he left early."
Audience Surrogate,A character who asks the questions the audience is silently asking.,The new intern finally said what we were all thinking: what does this machine actually do?,"In the ghost story, the skeptical cousin demands the rules of the haunting, so the reader learns them too.","Wait, the rookie said, walk me through how the heist gets past the second door."
Author Surrogate,A character who serves as the author's stand-in and voices their views.,"The novelist's every book features a weary librarian who lectures the town about reading, and the town suspects who she really is.","In his comic strip, the artist draws a beleaguered cartoonist whose deadlines match his own to the day.",The screenwriter added a character whose only job is to sigh at meetings the screenwriter also attends.
Authorial Intrusion,The author steps past the story to address the reader directly.,"Reader, I ask you to remember the umbrella; it matters in chapter nine.","And here, dear reader, you already know more than the detective does.","Forgive me for pausing the chase, but you should see the map."
Backstory,"The history that happened before the main story, revealed to explain the present.",She never explains why she checks the lighthouse twice; the old logbook in her drawer does.,"Before the bakery feud, the two owners ran one shop with one oven, and one unpaid debt.","The scarred workbench came with the house, along with the story of the storm that built it."
Bathos,An abrupt fall from the lofty to the trivial or ridiculous.,"He vowed to conquer his fears, master his destiny, and finally return his library books.","The eulogy for the old oak praised its century of shade, its shelter for generations of birds, and its excellent Wi-Fi reflection.","She sailed for glory, for discovery, for the ages, and for the coupon that expired Sunday."
Bibliomancy,Seeking guidance by opening a book at random and reading whatever passage appears — as practice or plot device.,"Unable to decide, she let the dictionary fall open and obeyed the first noun.",Each dawn the captain cut the atlas and sailed toward whatever page turned up.,"He flipped the cookbook for advice and took 'let rest, covered' as a sign."
Bildungsroman,A coming-of-age novel tracking a protagonist's growth from youth toward maturity.,Jane Eyre follows an orphan from cold schoolrooms into hard-won selfhood.,Great Expectations walks Pip from the marshes to London and back to humility.,A first-generation kid narrates every scholarship form on the way to becoming herself.
Blazon,An itemized catalog of praise listing the features of a person or thing one by one.,"Her toolbox: hinges of brass, drawers of cedar, a handle worn to the shape of her grip.","The ode to the diner listed its virtues: the bottomless coffee, the vinyl booths, the pie case lit like a jewelry counter.","He praised the old bicycle part by part: the bell's clear ring, the basket's woven patience, the tires that forgave every curb."
Bookending,"Opening and closing a work with the same scene, image, or line so the ending echoes the start.","The story opens with an empty birdcage on the porch and ends with the same cage, door propped wide on purpose.","Her essay begins and ends at the same bus stop, but by the last paragraph she is the one driving.","The film's first shot and last shot are the same kitchen table, set for one, then set for six."
Breaking the Fourth Wall,A character acknowledges the audience or admits to being inside a story.,"Mid-chase, the thief looked straight out of the page: you saw where the guard went; blink twice for the alley.",The narrator paused the recipe to admit that chapter three exists only because her editor loves soup.,"Do not worry, the villain told the audience, I am contractually obligated to lose."
Cacophony,"Harsh, clashing sounds chosen deliberately to grate the ear.","The clanking gearbox gnashed, screeched, and choked on grit.","Crows cracked the dawn with jagged, scraping racket.",Buckets banged down the back stairs in a clatter of tin.
Caesura,A deliberate pause or break in the middle of a line of verse.,I meant to write — the phone rang twice — a shorter poem.,We buried the time capsule || then forgot the yard.,"Stop here, traveler. Rest. The hill can wait."
Caricature,Exaggerating a subject's most distinctive traits for comic or critical effect.,The play's landlord is nothing but a jingling ring of keys and the word no.,"In her sketch, the committee chair is one enormous gavel with a tiny hat.","The novel's food critic sniffs his water, sends back the ice, and reviews the napkins."
Catachresis,"A strained, far-fetched use of a word or metaphor pushed past its normal sense.",His voice was a rusty hinge singing the furniture apart.,She drank the whole horizon in one homesick gulp.,The deadline chewed through the calendar with velvet teeth.
Catalog,"An extended list deployed as a device, letting sheer enumeration carry the meaning.","The junk drawer held string, batteries, three kinds of tape, a whistle, spare hinges, birthday candles, and the answer to none of our problems.","Her packing list was a biography: field guides, two harmonicas, dry socks, dried mangoes, a folding saw, and no phone charger.","The town's lost-and-found ledger read like a poem: one mitten, one trumpet, one ambition, unclaimed."
Characterization,"The methods by which a writer reveals who a character is — through action, speech, thought, appearance, and others' reactions.",She alphabetized the spice rack in someone else's kitchen; we knew her instantly.,"He answered every question with a question, even 'coffee?'","The dog liked everyone except Deleon, which told us plenty."
Chekhov's Gun,A detail introduced early that must matter before the story ends.,Chapter one lingers on the spare canoe paddle; chapter nine is a flood.,"The aunt mentions her beekeeping suit exactly once, four scenes before the swarm.","If the tour guide points out the dumbwaiter, someone is riding it by act three."
Chiasmus,A mirrored structure where the second phrase reverses the order of the first.,Ask not what the garden gives you; ask what you give the garden.,"She sings when she works, and works when she sings.","Plan your ride, then ride your plan."
Circumlocution,Talking around a thing with many words instead of naming it directly.,He described a 'handheld device for the relocation of soil' rather than say shovel.,The memo called layoffs 'a rebalancing of human capital allocations.',She needed the room where the porcelain furniture lives.
Cliffhanger,Ending a scene or installment at a moment of unresolved suspense.,The episode ends as the ferry pulls away with only one of the twins aboard.,"She opened the acceptance letter, read the first line, and the chapter stopped.","The final page of part one: the doorbell rings, and the dog, for the first time ever, does not bark."
Climax,Arranging words or clauses so each ranks higher in force than the last.,"First we lost the trail, then the daylight, then the argument about who had the compass.","He risked his allowance, then his bicycle, then the whole summer.","It began as a leak, swelled to a flood, and ended as the lake the town is named for."
Colloquialism,"Informal, everyday language used deliberately in writing.",The recipe's last step just said: let it hang out in the fridge a while.,Y'all can fuss about the paint color after the barn actually has walls.,"The manual for the fancy telescope began, real talk: go outside first."
Conceit,"An elaborate, surprising metaphor sustained and developed across a passage.","The essay treats her family's group chat as a weather system, with fronts, pressure drops, and one aunt who is entirely lightning.","For three stanzas the poem insists the public library is a harbor: cards are passports, fines are customs, the atlas shelf is open sea.","His toast built the marriage as a two-person orchestra, tuning through the lean years toward one long shared downbeat."
Conflict,"The struggle between opposing forces that drives a story — person versus person, self, nature, or system.",Two sisters want the same empty storefront for different dreams.,A ranger races a wildfire to a cabin she swore she'd never revisit.,A clerk fights a form that cannot be completed without the form itself.
Connotation,The emotional shading a word carries beyond its literal meaning.,'Childlike' glows; 'childish' stings; the dictionary can't tell you why.,Call the house 'cozy' and it sells; call it 'cramped' and it sits.,'Thrifty' is a compliment your aunt gives; 'cheap' is one she doesn't.
Consonance,"Repetition of consonant sounds within or at the ends of nearby words, not just at the beginnings.",The odd lad paddled the flooded road.,A flock of thick black socks lay stacked on the rack.,"First and last, the lost list mattered most."
Cumulative Sentence,"A sentence that states its main clause first, then accumulates modifying details afterward.","The train left on time, hissing at the platform, shrugging off pigeons, carrying our entire brass band and none of the sheet music.","She planted the flag at the summit, hands raw, laughing at the wind, forty minutes ahead of the record and two hours ahead of her brother.","The market opened at dawn, canvas stalls blooming one by one, coffee smoke drifting past the fish tables, everyone lying cheerfully about their prices."
Deadpan,"Delivering absurd or extreme content in a flat, matter-of-fact tone.","The goat is on the roof again, she said, refilling her coffee.",Per the incident report: the piñata retaliated at approximately 3 p.m.,"He noted, without looking up from the crossword, that the canoe had left without them."
Defamiliarization,"Describing something familiar as if seen for the first time, making it strange again.",The visitor described our handshake ritual: two strangers grip and pump each other's arms to prove neither is holding a weapon or a grudge.,A toddler's view of the vacuum: the roaring pet that eats the floor and is worshiped weekly.,The report described toast as bread that has been publicly frightened until it turns brown.
Denotation,"The literal dictionary meaning of a word, stripped of emotional shading.","'Snake' denotes a legless reptile, whatever your shiver says.","Denotatively, 'home' is only a dwelling place.",'Cheap' denotes low cost; the sneer is extra.
Deus ex Machina,"An abrupt, unearned rescue arriving from outside the story's logic to resolve the plot.","Just as the lease expired, a never-mentioned aunt willed them the building.",The dragon has the heroes cornered; lightning solves it in one sentence.,"A drone drops the missing key into the final scene, unexplained."
Diacope,Repeating a word or phrase with one or two words wedged in between.,"The bridge, the impossible bridge, was finished by June.","Run, kid, run; the sprinklers wait for no one.","It was cold, bitterly cold, and the bus shelter had opinions about neither."
Dialect,Rendering the flavor of regional or local speech in written dialogue.,The ferryman squinted at the sky and allowed that the fish were biting awful good for a Tuesday.,"Ain't no hill for a climber, Gran said, and took the stairs two at a time.","That storm's fixin' to sit on us all weekend, the innkeeper said, sliding over the extra quilt."
Diction,"A writer's deliberate choice of words and register — formal, slangy, clinical, plain.",The eviction notice said 'vacate'; the neighbor said 'they're putting you out.',She wrote 'commence' in the grant and 'kick off' in the group chat.,The nurse chose 'discomfort'; the patient chose a different word.
Digression,Deliberately wandering from the main subject before circling back to it.,"The lecture on knots paused for ten minutes about a ferry mishap in 1962, which, the instructor noted, is why we learn the bowline.","Before I explain the missing cake, you must understand my brother's history with frosting.","The trail guide interrupts its own directions to discuss huckleberries, then admits the turnoff was two paragraphs ago."
Distinctio,Explicitly spelling out which sense of a word you mean.,"The cabin is rustic, and by rustic I mean the raccoons have seniority.","We need this done soon, where soon means before the glue dries, not before winter.","She said the hike was moderate, moderate meaning you will cry only once."
Doppelganger,"A double or look-alike of a character, often uncanny, often a foil to their identity.","The new hire has your name, your handwriting, and better luck.",A pianist keeps meeting a man booked into every hotel as him.,Her reflection started waving first.
Double Entendre,"A phrase engineered to carry a second, slyer meaning alongside the innocent one.","The bakery's slogan, We Knead You Badly, did double duty on the delivery vans.",The gym's sign promised: we will make your New Year's resolution work out.,"Her orchard stand advertised: fruit so good, it's pearfect and we cantaloupe without you."
Dramatic Irony,"The audience knows something a character does not, and watches them act without it.",We saw the winning ticket fall behind the dresser; he vacuums the whole scene praising his own luck.,The reader knows the surprise party waits in the dark kitchen while she rehearses her resignation speech on the porch.,Every viewer knows the bridge is out; the shortcut argument in the car keeps going anyway.
Dramatic Monologue,A sustained speech in which a character reveals themselves to a silent listener.,"For two pages the retiring lighthouse keeper addresses the new bulb, and by the end we know his whole marriage.","The poem is one side of a barbershop conversation, and the customer's silence tells the rest.","In her audition piece, a toll collector explains the river to a duckling, confessing everything the river took."
Dysphemism,"Substituting a harsher, blunter term for a neutral or mild one.",He calls the community pool the ankle soup.,Her brother refers to the minivan as the rolling shoebox.,The crew's name for the office coffee was pipe sealant.
Ecphonesis,An exclamatory outburst that vents sudden emotion.,"At last! The seventeen-year cicadas, and my new screen door!",What a catch! And what a terrible moment for the net to be a hat!,"Oh, glorious laundry day, when every sock has a partner!"
Ekphrastic,Writing that vividly describes and responds to another work of art.,A poem that walks through Hokusai's wave from the rowers' side.,Two pages spent inside the museum guard's favorite painting.,A sonnet arguing with the smirk of a thrift-store portrait.
Ellipsis,"Deliberately omitting words or events, trusting the reader to fill the gap.","Monday she bought the boat. Friday, the island had a mayor.","He proposed at the trailhead; the descent, all four hours of it, goes undescribed.","The minutes read: motion raised, discussion, motion withdrawn, new gavel ordered."
Enallage,A deliberate grammatical error made for emphasis or voice.,"We was robbed, the whole bleacher section agreed, and grammar could wait.","Them pancakes ain't going to eat themselves, Grandpa announced, correctly.","It don't rain forever, she painted on the barn, and the town believed the barn."
Encomium,"A formal, glowing tribute praising a person or thing (also called panegyric).","The retirement speech crowned the janitor the true principal of the building, keeper of keys and calmer of boilers.","Her essay praises the humble zipper: uniter of jackets, savior of tents, tiny train on a silver track.","The newsletter's tribute to the crossing guard ran longer than the mayor's profile, and no one objected."
Enjambment,Running a line of verse past its break so the sentence spills into the next line.,The poem breaks after 'she packed her whole' and lands on 'garden into one seed envelope.',"Each line ends mid-promise, so the reader falls into the next: 'I will meet you when the / ice gives up the dock.'",His verse about the elevator drops its floor between lines: 'we rose past every / thing we meant to say.'
Enthymeme,An argument that leaves one premise unstated for the listener to supply.,Of course the cat did it; the cat was in the room.,"She's a gardener, so the casserole will involve zucchini.",He owns three ladders. Clearly he can hang one banner.
Epanalepsis,Beginning and ending a sentence or clause with the same word or phrase.,"The lake gives, and when the fog lifts, you thank the lake.","Work bought this house, and this house remembers the work.","Nothing worried her, and she worried about nothing."
Epanorthosis,Immediately correcting or upgrading what you just said for emphasis (also called correctio).,"The bake sale made hundreds, no, thousands, if we count the pledge from the dentist.","He walked, sprinted really, to the mailbox every day that week.","It was a good dog, a great dog, the only dog to hold public office in this county's heart."
Epigram,"A brief, pointed, witty statement, often with a twist at the end.","The early bird gets the worm, and the late bird gets the coffee shop to itself.",A shortcut is the longest distance between two points that includes an apology.,Everyone wants a garden; nobody wants August.
Epigraph,A quotation or motto placed at the head of a work or chapter to set its theme.,Chapter one opens under a line from an invented almanac: plant nothing you are unwilling to explain.,The mystery begins with an epigraph from the fictional detective's own field manual: every alibi is a story with a budget.,"Her memoir's first page carries her grandmother's rule, stitched on a real pillow: measure twice, forgive once."
Epilogue,"A closing section after the main story ends, showing aftermath or future.","Ten years later, the bakery is a bank, but the recipe survives on a corkboard.","The epilogue finds the detective retired, feeding pigeons, still counting them.","One last letter, dated long after the war, answers the first chapter's question."
Epiphany,"A character's sudden, clarifying realization that reframes everything.","Halfway through alphabetizing his complaints, he realized he simply missed the old crew.","Watching her daughter feed the parking meter for a stranger, she understood what the allowance had actually taught.",The chess club's worst player saw it at last: he had been guarding a square nobody wanted.
Epistolary,"Telling a story through letters, messages, or documents.","The whole feud unfolds in laundry-room notes, escalating from 'please' to legal citations to, finally, a shared detergent budget.","Her novel is told in postcards home, and the lies get smaller as the mountains get bigger.","The story arrives as a padlocked lost-and-found logbook, one entry at a time, until the entries start answering each other."
Epistrophe,Repeating the same word or phrase at the end of successive clauses or sentences.,"The tent leaked at midnight, the boots leaked at dawn, and honestly the whole trip leaked.","When we were down, she showed up. When the van died, she showed up. Payday or no payday, she showed up.","He wanted the corner office, deserved the corner office, and got the corner, no office."
Epithet,A descriptive tag attached to a name or standing in for it.,Homer's 'rosy-fingered dawn' rises again and again.,Around here she's simply 'the bridge lady' who saved the crossing.,Alexander the Great needed no last name.
Epizeuxis,"Repeating a word immediately, with nothing in between, for raw emphasis.","Stir, stir, stir; custard forgives nothing.","The gulls found the fries. Run. Run, run, run.","Quiet, quiet, quiet, the librarian mouthed, pointing at the napping toddler."
Ethopoeia,Composing a speech in the imagined voice and character of someone else.,"The class assignment: write the lost mitten's account of winter, and she gave it a soldier's stoicism.","For the anniversary, he wrote a toast in the voice of the couple's ancient hallway clock, which had seen everything.","The ranger's newsletter runs a column written as the campground's oldest raccoon, worldly and unrepentant."
Eucatastrophe,A sudden joyous turn that snatches a happy ending from certain disaster.,"The orchard was lost to frost, everyone agreed, until the bees found the one warm hollow and the late bloom came in roaring.","As the auction gavel rose over the family boathouse, the missing deed slid out of the harbormaster's atlas.","The choir's bus broke down at midnight, and the only tow driver awake turned out to have a spare bus and perfect pitch."
Euphemism,A softened expression substituted for a blunt or unpleasant one.,The goldfish 'moved to a bigger tank upstairs.',The airline 'reaccommodated' half the passengers.,Grandma is 'resting her eyes' through the whole film.
Euphony,"Smooth, pleasing sound patterns chosen to soothe the ear.",Low lamplight lulled the mellow room to sleep.,A murmur of warm water wandered under willows.,"Her lullaby lingered, soft as falling flour."
Euphuism,"An ornately balanced, alliterative, elaborately patterned prose style.","The invitation read: as the moth to the lantern and the tide to the moon, so are the neighbors to a free brunch.","His apology arrived gilded: not as the storm regrets the fence, but as the fence forgives the storm, do I return your ladder.","The menu described soup as the summer's surrender, simmered slowly, seasoned with the sighs of sweet onions."
Exemplum,A brief story told to prove or illustrate a moral point.,"To teach the value of checking twice, the foreman tells of the crew that tiled a kitchen for the wrong address.",Her lecture on patience is one story: the man who dug up his carrots weekly to see how they were doing.,The coach's parable of the untied shoelace has prevented more falls than any drill.
Fable,"A short tale, often with animal characters, that lands on a lesson.","The crow who hoarded shiny things could not fly home ahead of the storm, and the plain-nested sparrow slept dry.",A hare challenged the ferry to a race across the lake and learned what the tortoise never mentioned: swimming.,"The ant lent the grasshopper a coat, and the moral surprised everyone, including the ant."
False Document,"Fiction presented in the form of a real artifact such as a report, transcript, or manual.",The story is a homeowners association newsletter whose bylaws grow stranger until item 14 bans the sea.,"Her novella masquerades as an appliance warranty, exclusions and all, for a machine that grants modest wishes.","The tale unfolds as a middle school field trip permission slip, amended eleven times, each amendment more alarming."
Faulty Parallelism,"Breaking the expected grammatical symmetry of a list or pair — a flaw, or a deliberate jolt.","He liked biking, to fish, and naps — and the sentence limped like his knee.","The flyer promised fun, food, and that parking would eventually exist.","She wanted a raise, respect, and to never see the copier again."
First-Person Narration,"Telling the story from inside it, through an 'I' who takes part.","I counted the lifeboats twice, because nobody else on that ferry seemed interested in arithmetic.","I did not steal the recipe. I inherited it early, without asking, from a kitchen that was briefly unattended.","The day I became the town's substitute mail carrier, I learned every dog's opinion of my ankles, personally."
Flashback,An interruption that returns the narrative to an earlier time.,"Mid-interview, the smell of chalk drops her into a third-grade classroom.",The chapter breaks from the storm to the summer the dam was built.,"One photograph, and he is nine again, holding the winning ticket."
Flashforward,Jumping ahead to show events from the story's future before returning (also called prolepsis).,"Between innings, the narrator shows us the trophy case twenty years on, one plaque hanging crooked.","The chapter breaks from the wedding toast to a glimpse of the couple, gray and laughing, arguing over the same map.","Mid-argument about the seed order, we cut to next autumn: the field is entirely, victoriously, sunflowers."
Foil,A character whose contrast highlights another character's qualities.,The cautious accountant rooms with a skydiving instructor.,Reckless Laertes makes deliberate Hamlet look even slower to act.,Her silence gets louder next to her chatty twin.
Foreshadowing,Early hints that quietly prepare the reader for what's coming.,"The tour guide mentions, twice, that the ice cracks earliest near the boathouse.",Chapter one lingers on the spare tire nobody checked.,He waves goodbye from the platform like a man practicing it.
Frame Story,An outer story that introduces and contains an inner story.,"A stranded train car of strangers passes the night trading tales, and the blizzard outside keeps the frame closed.",The novel opens with a landlady finding a tenant's tape recorder; every chapter after is one cassette.,"At the reunion, the eldest cousin holds up one chipped mug, and the story of the mug becomes the story of the family."
Free Indirect Discourse,Third-person narration that slips into a character's inner voice without quotation marks.,"Marisol studied the ticket. One seat left, window, of course it was the window, she always drew the window when the mountains were on the other side.",The dog watched the suitcase come down from the closet. So it was happening again. Fine. Someone had to guard the socks.,"He reread the committee's email. Wonderful, another synergy meeting, because the first nine had been such festivals of progress."
Free Verse,"Poetry without a regular meter or rhyme scheme, shaped by breath and emphasis instead.","Her poem about the laundromat runs long and unrhymed, folding its lines the way the dryers tumble, on no schedule but heat.",The elegy for the corner store refuses meter; it lists the candy shelf in plain lines and lets the register bell end it.,"His free verse about fog rolls past every expected beat, the way fog ignores fences."
Gallows Humor,Joking in the face of grim or hopeless circumstances.,"As the flood reached the porch, Grandpa rated the river's punctuality five stars.",The crew of the sinking dinghy debated whether this counted as a swim or a commute.,"Nice of the storm to prune the orchard for free, she said, over what used to be the fence."
Hamartia,The protagonist's own flaw or error that sets their downfall in motion.,"The champion never practiced returns; her serve was too good to need them, until the final, when it wasn't.","He trusted every handshake, which built the co-op, and then signed the one that lost it.","The captain's gift for improvising meant no checklists, and the checklist was where the harbor charts lived."
Hendiadys,Expressing one idea through two words joined by 'and' instead of one modified term.,Come in out of the wind and the weather; the kettle's on.,He gave the fence a coat of paint and patience.,"She spoke with grace and iron, and the meeting ended on time for once."
Homeoteleuton,Placing words with similar endings near each other so the endings chime.,"The pamphlet promised camping, fishing, whittling, and belonging.","Rapidly, quietly, expertly, the sisters emptied the cookie tin.","The job wanted someone dependable, teachable, and unshockable, preferably by Monday."
Hubris,Excessive pride that invites downfall.,He skipped the safety briefing; he'd 'sailed worse in his sleep.',"She framed the rejection letters early, certain the prize was hers.",Icarus got one instruction and improvised.
Humblebrag,A boast disguised as a complaint or as modesty.,"Ugh, my zucchini won again and now I have to store a trophy the size of a canoe.",It is honestly exhausting being the only one whose sourdough rises every single time.,So embarrassing: the marathon photographers only got shots of me passing people.
Hypallage,Attaching a descriptive word to a nearby noun instead of the one it logically fits (also called transferred epithet).,She spent a sleepless pillow of a night before the results.,He lit a nervous cigarette on the courthouse steps.,We ate a triumphant breakfast the morning the well finally ran clear.
