id,effort,effort_weight,effort_space,effort_time,placement,air,age,size,tempo,volume,attitude
175,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,medium,friendly
176,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,medium,deadpan
177,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,medium,menacing
178,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,big,friendly
179,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,big,deadpan
180,dab,light,direct,sudden,nasal,breathy,elder,tiny,steady,big,menacing
181,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,hushed,friendly
182,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,hushed,deadpan
183,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,hushed,menacing
184,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,medium,friendly
185,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,medium,deadpan
186,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,medium,menacing
187,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,big,friendly
188,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,big,deadpan
189,dab,light,direct,sudden,nasal,breathy,elder,tiny,rapid,big,menacing
190,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,hushed,friendly
191,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,hushed,deadpan
192,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,hushed,menacing
193,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,medium,friendly
194,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,medium,deadpan
195,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,medium,menacing
196,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,big,friendly
197,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,big,deadpan
198,dab,light,direct,sudden,nasal,breathy,elder,medium,slow,big,menacing
199,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,hushed,friendly
200,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,hushed,deadpan
201,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,hushed,menacing
202,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,medium,friendly
203,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,medium,deadpan
204,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,medium,menacing
205,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,big,friendly
206,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,big,deadpan
207,dab,light,direct,sudden,nasal,breathy,elder,medium,steady,big,menacing
208,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,hushed,friendly
209,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,hushed,deadpan
210,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,hushed,menacing
211,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,medium,friendly
212,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,medium,deadpan
213,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,medium,menacing
214,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,big,friendly
215,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,big,deadpan
216,dab,light,direct,sudden,nasal,breathy,elder,medium,rapid,big,menacing
217,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,hushed,friendly
218,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,hushed,deadpan
219,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,hushed,menacing
220,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,medium,friendly
221,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,medium,deadpan
222,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,medium,menacing
223,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,big,friendly
224,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,big,deadpan
225,dab,light,direct,sudden,nasal,breathy,elder,huge,slow,big,menacing
226,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,hushed,friendly
227,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,hushed,deadpan
228,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,hushed,menacing
229,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,medium,friendly
230,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,medium,deadpan
231,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,medium,menacing
232,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,big,friendly
233,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,big,deadpan
234,dab,light,direct,sudden,nasal,breathy,elder,huge,steady,big,menacing
235,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,hushed,friendly
236,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,hushed,deadpan
237,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,hushed,menacing
238,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,medium,friendly
239,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,medium,deadpan
240,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,medium,menacing
241,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,big,friendly
242,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,big,deadpan
243,dab,light,direct,sudden,nasal,breathy,elder,huge,rapid,big,menacing
244,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,hushed,friendly
245,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,hushed,deadpan
246,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,hushed,menacing
247,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,medium,friendly
248,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,medium,deadpan
249,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,medium,menacing
250,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,big,friendly
251,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,big,deadpan
252,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,slow,big,menacing
253,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,hushed,friendly
254,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,hushed,deadpan
255,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,hushed,menacing
256,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,medium,friendly
257,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,medium,deadpan
258,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,medium,menacing
259,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,big,friendly
260,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,big,deadpan
261,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,steady,big,menacing
262,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,hushed,friendly
263,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,hushed,deadpan
264,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,hushed,menacing
265,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,medium,friendly
266,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,medium,deadpan
267,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,medium,menacing
268,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,big,friendly
269,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,big,deadpan
270,dab,light,direct,sudden,nasal,dry,kid-ish,tiny,rapid,big,menacing
271,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,hushed,friendly
272,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,hushed,deadpan
273,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,hushed,menacing
274,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,medium,friendly
275,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,medium,deadpan
276,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,medium,menacing
277,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,big,friendly
278,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,big,deadpan
279,dab,light,direct,sudden,nasal,dry,kid-ish,medium,slow,big,menacing
280,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,hushed,friendly
281,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,hushed,deadpan
282,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,hushed,menacing
283,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,medium,friendly
284,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,medium,deadpan
285,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,medium,menacing
286,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,big,friendly
287,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,big,deadpan
288,dab,light,direct,sudden,nasal,dry,kid-ish,medium,steady,big,menacing
289,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,hushed,friendly
290,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,hushed,deadpan
291,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,hushed,menacing
292,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,medium,friendly
293,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,medium,deadpan
294,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,medium,menacing
295,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,big,friendly
296,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,big,deadpan
297,dab,light,direct,sudden,nasal,dry,kid-ish,medium,rapid,big,menacing
298,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,hushed,friendly
299,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,hushed,deadpan
300,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,hushed,menacing
301,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,medium,friendly
302,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,medium,deadpan
303,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,medium,menacing
304,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,big,friendly
305,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,big,deadpan
306,dab,light,direct,sudden,nasal,dry,kid-ish,huge,slow,big,menacing
307,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,hushed,friendly
308,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,hushed,deadpan
309,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,hushed,menacing
310,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,medium,friendly
311,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,medium,deadpan
312,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,medium,menacing
313,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,big,friendly
314,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,big,deadpan
315,dab,light,direct,sudden,nasal,dry,kid-ish,huge,steady,big,menacing
316,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,hushed,friendly
317,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,hushed,deadpan
318,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,hushed,menacing
319,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,medium,friendly
320,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,medium,deadpan
321,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,medium,menacing
322,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,big,friendly
323,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,big,deadpan
324,dab,light,direct,sudden,nasal,dry,kid-ish,huge,rapid,big,menacing
325,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,hushed,friendly
326,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,hushed,deadpan
327,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,hushed,menacing
328,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,medium,friendly
329,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,medium,deadpan
330,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,medium,menacing
331,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,big,friendly
332,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,big,deadpan
333,dab,light,direct,sudden,nasal,dry,adult,tiny,slow,big,menacing
334,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,hushed,friendly
335,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,hushed,deadpan
336,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,hushed,menacing
337,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,medium,friendly
338,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,medium,deadpan
339,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,medium,menacing
340,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,big,friendly
341,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,big,deadpan
342,dab,light,direct,sudden,nasal,dry,adult,tiny,steady,big,menacing
343,dab,light,direct,sudden,nasal,dry,adult,tiny,rapid,hushed,friendly
344,dab,light,direct,sudden,nasal,dry,adult,tiny,rapid,hushed,deadpan
345,dab,light,direct,sudden,nasal,dry,adult,tiny,rapid,hushed,menacing
346,dab,light,direct,sudden,nasal,dry,adult,tiny,rapid,medium,friendly
